"Target gene symbol","Target gene ID","Target gene type3prime_overlapping_nMt_rRNAMt_tRNATECantisense_RNAbidirectional_promotlincRNAmacro_lncRNAmiRNAmisc_RNAprocessed_transcriptprotein_codingrRNAsense_intronicsense_overlappingsnRNAsnoRNA","ProtocolPAR-CLIP,MiClipPAR-CLIP,PARalyzerPAR-CLIP,Piranha_0.01iCLIP,CIMSiCLIP,Piranha_0.01iCLIP,PureCLIP","Target gene exp. level","Binding site records"
"SNORD101","ENSG00000206754","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD105B","ENSG00000238531","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD11","ENSG00000238317","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD11B","ENSG00000271852","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD15A","ENSG00000206941","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD15B","ENSG00000207445","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD2","ENSG00000238942","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD27","ENSG00000275996","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD33","ENSG00000199631","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD36C","ENSG00000252542","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD49A","ENSG00000277370","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD5","ENSG00000239195","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD56","ENSG00000229686","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD58A","ENSG00000206602","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD59A","ENSG00000207031","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD6","ENSG00000202314","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD63","ENSG00000206989","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD67","ENSG00000212135","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD70","ENSG00000212309","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD8","ENSG00000200785","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD83B","ENSG00000209480","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD87","ENSG00000254341","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORD94","ENSG00000208772","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"AC012501.1","ENSG00000227400","sense_overlapping","PAR-CLIP,Piranha_0.01","","1"
"AL035458.2","ENSG00000250917","sense_overlapping","PAR-CLIP,Piranha_0.01","","1"
"SNHG3","ENSG00000242125","sense_intronic","PAR-CLIP,Piranha_0.01","","2"
"AC051619.7","ENSG00000259932","sense_intronic","PAR-CLIP,Piranha_0.01","","1"
"AL691482.3","ENSG00000249007","sense_intronic","PAR-CLIP,Piranha_0.01","","1"
"RNA5-8SP6","ENSG00000251705","rRNA","PAR-CLIP,Piranha_0.01","","4"
"RNA5S9","ENSG00000201321","rRNA","PAR-CLIP,Piranha_0.01","","4"
"RNA5SP215","ENSG00000200310","rRNA","PAR-CLIP,Piranha_0.01","","4"
"RNA5SP202","ENSG00000201185","rRNA","PAR-CLIP,Piranha_0.01","","3"
"RNA5SP242","ENSG00000201041","rRNA","PAR-CLIP,Piranha_0.01","","3"
