"Target gene symbol","Target gene ID","Target gene type3prime_overlapping_nMt_rRNAMt_tRNATECantisense_RNAbidirectional_promotlincRNAmacro_lncRNAmiRNAmisc_RNAprocessed_transcriptprotein_codingrRNAsense_intronicsense_overlappingsnRNAsnoRNA","ProtocolPAR-CLIP,MiClipPAR-CLIP,PARalyzerPAR-CLIP,Piranha_0.01iCLIP,CIMSiCLIP,Piranha_0.01iCLIP,PureCLIP","Target gene exp. level","Binding site records"
"APOB","ENSG00000084674","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ARAP1","ENSG00000186635","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ARID5B","ENSG00000150347","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ARMC5","ENSG00000140691","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ARRB2","ENSG00000141480","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ATF5","ENSG00000169136","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ATP1B1","ENSG00000143153","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ATRX","ENSG00000085224","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"BTN3A2","ENSG00000186470","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"C11orf24","ENSG00000171067","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"C19orf24","ENSG00000228300","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"C6orf62","ENSG00000112308","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CAMK2D","ENSG00000145349","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CAVIN1","ENSG00000177469","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CBL","ENSG00000110395","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CDK2","ENSG00000123374","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CDKN2C","ENSG00000123080","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CITED4","ENSG00000179862","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CNKSR2","ENSG00000149970","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"COMMD10","ENSG00000145781","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"COX4I1","ENSG00000131143","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"COX5A","ENSG00000178741","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CRKL","ENSG00000099942","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CRNKL1","ENSG00000101343","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CRTC3","ENSG00000140577","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CSMD1","ENSG00000183117","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CYB5RL","ENSG00000215883","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"CYTH3","ENSG00000008256","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"DHX30","ENSG00000132153","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"DMAC2","ENSG00000105341","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"DMBT1","ENSG00000187908","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"DSP","ENSG00000096696","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"DVL1","ENSG00000107404","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"DYNC1H1","ENSG00000197102","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"DYRK2","ENSG00000127334","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"EIF2A","ENSG00000144895","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"EIF2S3","ENSG00000130741","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"EIF4G3","ENSG00000075151","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ELK4","ENSG00000158711","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ELOVL5","ENSG00000012660","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"EMC10","ENSG00000161671","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ENSA","ENSG00000143420","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"EPHB2","ENSG00000133216","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"EXOSC6","ENSG00000223496","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"FAM124A","ENSG00000150510","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"FAM53C","ENSG00000120709","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"FBXO31","ENSG00000103264","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"FBXO46","ENSG00000177051","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"FIBP","ENSG00000172500","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"FZD7","ENSG00000155760","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"FZD8","ENSG00000177283","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"GABARAPL1","ENSG00000139112","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"GDF15","ENSG00000130513","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"GRID2","ENSG00000152208","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"GSTCD","ENSG00000138780","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"H2AFY","ENSG00000113648","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"HASPIN","ENSG00000177602","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"HLA-B","ENSG00000234745","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"HMGA1","ENSG00000137309","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"HPCAL1","ENSG00000115756","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"HPS6","ENSG00000166189","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"HYAL1","ENSG00000114378","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ICE1","ENSG00000164151","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"IGF2BP1","ENSG00000159217","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"IPO7","ENSG00000205339","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"IQSEC1","ENSG00000144711","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"JTB","ENSG00000143543","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"KCNC4","ENSG00000116396","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"KCNG1","ENSG00000026559","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"KCTD20","ENSG00000112078","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"KLK5","ENSG00000167754","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LAMC3","ENSG00000050555","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LEPROTL1","ENSG00000104660","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LETM1","ENSG00000168924","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LNPEP","ENSG00000113441","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LONP2","ENSG00000102910","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LPL","ENSG00000175445","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LRFN1","ENSG00000128011","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"LSM4","ENSG00000130520","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MESD","ENSG00000117899","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MIF","ENSG00000240972","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MLEC","ENSG00000110917","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MON1B","ENSG00000103111","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MON2","ENSG00000061987","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MOSPD1","ENSG00000101928","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MRGBP","ENSG00000101189","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MSL2","ENSG00000174579","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MTCL1","ENSG00000168502","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MTO1","ENSG00000135297","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MUL1","ENSG00000090432","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"MYT1L","ENSG00000186487","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"NBEA","ENSG00000172915","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"NCOA2","ENSG00000140396","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"NDUFB4","ENSG00000065518","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"NF1","ENSG00000196712","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"NOL9","ENSG00000162408","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"NSUN4","ENSG00000117481","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"NUFIP2","ENSG00000108256","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"OGFR","ENSG00000060491","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"OSBPL2","ENSG00000130703","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PDXDC1","ENSG00000179889","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PGAM5","ENSG00000247077","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PIGA","ENSG00000165195","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PLD3","ENSG00000105223","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PLK1","ENSG00000166851","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PLOD3","ENSG00000106397","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PLXNA1","ENSG00000114554","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"POLR2E","ENSG00000099817","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"POLR3E","ENSG00000058600","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PPIA","ENSG00000196262","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PPP1R15A","ENSG00000087074","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PPP1R9B","ENSG00000108819","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PPP2R2C","ENSG00000074211","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PQLC1","ENSG00000122490","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PRUNE1","ENSG00000143363","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PTBP3","ENSG00000119314","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PTGES3","ENSG00000110958","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PTPN14","ENSG00000152104","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PTPRS","ENSG00000105426","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"PURA","ENSG00000185129","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"QSER1","ENSG00000060749","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"QSOX2","ENSG00000165661","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RARA","ENSG00000131759","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RBM27","ENSG00000091009","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RBM4","ENSG00000173933","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RCOR1","ENSG00000089902","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RGP1","ENSG00000107185","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RNF167","ENSG00000108523","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RNF187","ENSG00000168159","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RPRD1B","ENSG00000101413","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"RREB1","ENSG00000124782","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SCRN1","ENSG00000136193","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SCYL1","ENSG00000142186","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SEC61A2","ENSG00000065665","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SERPINE2","ENSG00000135919","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SKI","ENSG00000157933","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC16A5","ENSG00000170190","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC25A25","ENSG00000148339","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC25A36","ENSG00000114120","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC25A6","ENSG00000169100","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC26A2","ENSG00000155850","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC35C2","ENSG00000080189","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC38A7","ENSG00000103042","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC41A3","ENSG00000114544","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SLC6A8","ENSG00000130821","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SND1","ENSG00000197157","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SORBS1","ENSG00000095637","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SPEN","ENSG00000065526","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SPHK1","ENSG00000176170","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"SPIN1","ENSG00000106723","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TACC3","ENSG00000013810","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TAF4","ENSG00000130699","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TERB1","ENSG00000249961","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"THRAP3","ENSG00000054118","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TMEM222","ENSG00000186501","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TMEM248","ENSG00000106609","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TMEM51","ENSG00000171729","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TMOD1","ENSG00000136842","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TNRC6C","ENSG00000078687","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TOMM20","ENSG00000173726","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TRIM39","ENSG00000204599","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TRNP1","ENSG00000253368","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"TSNARE1","ENSG00000171045","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"UBE2J2","ENSG00000160087","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"UXS1","ENSG00000115652","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"VAC14","ENSG00000103043","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"VASN","ENSG00000168140","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"VCL","ENSG00000035403","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"VEGFB","ENSG00000173511","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"VPS18","ENSG00000104142","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"WAC","ENSG00000095787","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"WASF2","ENSG00000158195","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"WDR26","ENSG00000162923","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"WDR47","ENSG00000085433","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"YARS","ENSG00000134684","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"YWHAG","ENSG00000170027","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ZMYND19","ENSG00000165724","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ZNF229","ENSG00000278318","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ZNF24","ENSG00000172466","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ZNF431","ENSG00000196705","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ZNF532","ENSG00000074657","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ZNF536","ENSG00000198597","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"ZNF787","ENSG00000142409","protein_coding","PAR-CLIP,Piranha_0.01","","5"
"AC005324.4","ENSG00000255104","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"AC068580.4","ENSG00000250644","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"AC138894.1","ENSG00000261832","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"AC239799.1","ENSG00000213240","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ACLY","ENSG00000131473","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ADAMTS7","ENSG00000136378","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ADCY3","ENSG00000138031","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ADK","ENSG00000156110","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"AEBP2","ENSG00000139154","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"AKAP17A","ENSG00000197976","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ALG3","ENSG00000214160","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ANAPC7","ENSG00000196510","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ANKRD28","ENSG00000206560","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ANP32A","ENSG00000140350","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"AOC1","ENSG00000002726","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ARF4","ENSG00000168374","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ARFIP2","ENSG00000132254","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ARL2","ENSG00000213465","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ARL4C","ENSG00000188042","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ARPC5L","ENSG00000136950","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ASCC3","ENSG00000112249","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ASIC2","ENSG00000108684","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ATG4B","ENSG00000168397","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ATL3","ENSG00000184743","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ATP2B1","ENSG00000070961","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ATP5A1","ENSG00000152234","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ATP5D","ENSG00000099624","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ATRIP","ENSG00000164053","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ATXN1L","ENSG00000224470","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"AURKAIP1","ENSG00000175756","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"B3GNT2","ENSG00000170340","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BANF2","ENSG00000125888","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BAP1","ENSG00000163930","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BCAP31","ENSG00000185825","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BHLHE40","ENSG00000134107","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BICD1","ENSG00000151746","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BICDL2","ENSG00000162069","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BMP6","ENSG00000153162","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BRCC3","ENSG00000185515","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BRI3BP","ENSG00000184992","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BUB3","ENSG00000154473","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"BUD13","ENSG00000137656","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"C11orf57","ENSG00000150776","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"C14orf2","ENSG00000156411","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"C20orf27","ENSG00000101220","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"C4orf22","ENSG00000197826","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"C6orf106","ENSG00000196821","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"C7orf50","ENSG00000146540","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"C8orf58","ENSG00000241852","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CAMSAP2","ENSG00000118200","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CBLL1","ENSG00000105879","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CCDC130","ENSG00000104957","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CCDC85B","ENSG00000175602","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CCT6A","ENSG00000146731","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CD3EAP","ENSG00000117877","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CDCA8","ENSG00000134690","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CDK6","ENSG00000105810","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CDPF1","ENSG00000205643","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CDYL2","ENSG00000166446","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CEBPA","ENSG00000245848","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CEP104","ENSG00000116198","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CHD5","ENSG00000116254","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CHKA","ENSG00000110721","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CHMP1A","ENSG00000131165","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CHST8","ENSG00000124302","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CHSY1","ENSG00000131873","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CMTR2","ENSG00000180917","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CNPY3","ENSG00000137161","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"COA4","ENSG00000181924","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"COG5","ENSG00000164597","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"COL18A1","ENSG00000182871","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"COMMD5","ENSG00000170619","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"COX8A","ENSG00000176340","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CPT1A","ENSG00000110090","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CRAMP1","ENSG00000007545","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CSNK1A1","ENSG00000113712","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CTNNA1","ENSG00000044115","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CYB561D2","ENSG00000114395","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"CYB5R3","ENSG00000100243","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DBI","ENSG00000155368","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DCLRE1B","ENSG00000118655","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DCXR","ENSG00000169738","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DDX19A","ENSG00000168872","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DDX24","ENSG00000089737","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DDX55","ENSG00000111364","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DHX8","ENSG00000067596","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DKK2","ENSG00000155011","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DLGAP2","ENSG00000198010","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DLX1","ENSG00000144355","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DMXL2","ENSG00000104093","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DNAJB5","ENSG00000137094","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"DUSP6","ENSG00000139318","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"E2F8","ENSG00000129173","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EARS2","ENSG00000103356","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EBPL","ENSG00000123179","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EDIL3","ENSG00000164176","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EDNRA","ENSG00000151617","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EFHD2","ENSG00000142634","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EHMT2","ENSG00000204371","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EIF1AX","ENSG00000173674","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EIF3A","ENSG00000107581","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EPAS1","ENSG00000116016","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ETV3","ENSG00000117036","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"ETV6","ENSG00000139083","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"EXOC3","ENSG00000180104","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FAM104B","ENSG00000182518","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FAM13B","ENSG00000031003","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FAM20C","ENSG00000177706","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FANCM","ENSG00000187790","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FBRS","ENSG00000156860","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FBXW5","ENSG00000159069","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FEM1A","ENSG00000141965","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FEN1","ENSG00000168496","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FKBPL","ENSG00000204315","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FLYWCH1","ENSG00000059122","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FMC1","ENSG00000164898","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FNDC3B","ENSG00000075420","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FOS","ENSG00000170345","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FOXE3","ENSG00000186790","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FRMPD2","ENSG00000170324","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FSTL1","ENSG00000163430","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"FZD5","ENSG00000163251","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GLMP","ENSG00000198715","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GNB1L","ENSG00000185838","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GOLGA7","ENSG00000147533","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GPATCH8","ENSG00000186566","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GPR135","ENSG00000181619","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GRAP2","ENSG00000100351","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GSTM4","ENSG00000168765","protein_coding","PAR-CLIP,Piranha_0.01","","4"
"GTF2H4","ENSG00000213780","protein_coding","PAR-CLIP,Piranha_0.01","","4"
